VslID,Berth,Cargo Type,Flag/Country Code,Foreign Coastal Indicator,Commodity Code,GRT,NRT,Dead Weight,ATA - Outer Roads,Actual Time of Arriv,Actual Date of Berthing,Actual Time of Berth,Actual Date of Unberthing,Actual Time of Unberthing,ATD - Outer Roads,Actual Time of Depar,PBD (Port),PBD (Non Port),PBD Total,SWB (TOTAL),TRT (TOTAL),NOR Date,NOR time,TRT NOR,PILOT BOARDING DATE,PILOT BOARDING TIME,PILOT UNBOARDING DATE,PILOT UNBOARDING TIME,TRT BOARDING & DEBOARDING,MT,Teus,MnthYear,Idle Hrs
8200405AYIRP,Q4,Liquid Bulk,INDIA,C,AVIATION TURBO FUEL,30131,13701,49999,08.04.2025,16:12:00,08.04.2025,18:16:00,10.04.2025,06:42:00,10.04.2025,09:18:00,00:00:00,00:00:00,00:00:00,41:06:00,,,,,08.04.2025,17:00:00,10.04.2025,8:15:00,39:15:00,3499.158,,Apr-25,15.833
9200405IABMU,V3,Containerised,INDIA,C,CONTAINER,18602,9382,24374,11.04.2025,19:30:00,12.04.2025,05:06:00,13.04.2025,06:54:00,13.04.2025,08:50:00,07:45:00,00:00:00,07:45:00,37:20:00,,,,,12.04.2025,3:15:00,13.04.2025,7:50:00,28:35:00,32104,1734,Apr-25,
0300405TENNO,COT,Liquid Bulk,INDIA,C,MOTOR SPIRIT,56854,22758,99999,08.04.2025,15:36:00,09.04.2025,20:00:00,12.04.2025,02:54:00,12.04.2025,05:30:00,27:00:00,00:00:00,27:00:00,85:54:00,,,,,09.04.2025,18:36:00,12.04.2025,4:30:00,57:54:00,78420.462,,Apr-25,8.4
4300405ALAHT,NCB,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,498,149,267,09.04.2025,11:10:00,09.04.2025,16:12:00,09.04.2025,21:12:00,09.04.2025,23:03:00,04:35:00,00:00:00,04:35:00,11:53:00,,,,,09.04.2025,15:45:00,09.04.2025,22:00:00,6:15:00,115.043,,Apr-25,3.5
5300405ROOTN,COT,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,28552,12369,47141,13.04.2025,11:40:00,13.04.2025,13:12:00,15.04.2025,14:42:00,15.04.2025,17:13:00,00:00:00,00:00:00,00:00:00,53:33:00,,,,,13.04.2025,11:48:00,15.04.2025,16:15:00,52:27:00,40032.547,,Apr-25,7.7
6300405DNANA,V2,Containerised,INDIA,C,CONTAINER,20815,9599,28474,16.04.2025,16:27:00,16.04.2025,19:06:00,17.04.2025,04:50:00,17.04.2025,06:46:00,00:00:00,00:00:00,00:00:00,14:19:00,,,,,16.04.2025,17:45:00,17.04.2025,5:48:00,12:03:00,15578,969,Apr-25,
8300405II-RE,V3,Containerised,LIBERIA,F,CONTAINER,27828,13386,37548,24.04.2025,20:45:00,24.04.2025,22:30:00,25.04.2025,12:00:00,25.04.2025,14:31:00,00:00:00,00:00:00,00:00:00,17:46:00,,,,,24.04.2025,21:00:00,25.04.2025,13:30:00,16:30:00,6929,714,Apr-25,
9300405215-I,V2,Containerised,SINGAPORE,F,CONTAINER,47259,20964,57830,22.04.2025,09:00:00,22.04.2025,20:00:00,23.04.2025,12:06:00,23.04.2025,15:02:00,09:30:00,00:00:00,09:30:00,30:02:00,,,,,22.04.2025,18:30:00,23.04.2025,14:00:00,19:30:00,16348,1161,Apr-25,
0400405DNANA,V2,Containerised,INDIA,C,CONTAINER,20815,9599,28474,25.04.2025,08:00:00,25.04.2025,09:46:00,25.04.2025,22:10:00,26.04.2025,00:15:00,00:00:00,00:00:00,00:00:00,16:15:00,,,,,25.04.2025,8:28:00,25.04.2025,23:15:00,14:47:00,24662,1116,Apr-25,
1400405LARGO,V3,Containerised,INDIA,C,CONTAINER,36603,15610,45400,18.04.2025,01:00:00,18.04.2025,04:07:00,18.04.2025,18:00:00,18.04.2025,20:41:00,01:40:00,00:00:00,01:40:00,19:41:00,,,,,18.04.2025,2:40:00,18.04.2025,19:40:00,17:00:00,11209,1217,Apr-25,
3400405TARAH,V2,Containerised,INDIA,C,CONTAINER,29383,16583,34769,21.04.2025,07:50:00,21.04.2025,09:30:00,22.04.2025,10:36:00,22.04.2025,13:32:00,00:00:00,00:00:00,00:00:00,29:42:00,,,,,21.04.2025,8:00:00,22.04.2025,12:30:00,28:30:00,20687,1347,Apr-25,
5400405IANNE,V3,Containerised,INDIA,C,CONTAINER,43679,21391,57813,16.04.2025,23:00:00,17.04.2025,00:45:00,18.04.2025,01:30:00,18.04.2025,03:31:00,00:00:00,00:00:00,00:00:00,28:31:00,,,,,16.04.2025,23:12:00,18.04.2025,2:30:00,27:18:00,33660,2262,Apr-25,
84004053-ASL,V2,Containerised,LIBERIA,F,CONTAINER,16799,8672,22994,17.04.2025,06:30:00,17.04.2025,08:04:00,17.04.2025,15:44:00,17.04.2025,17:45:00,00:00:00,00:00:00,00:00:00,11:15:00,,,,,17.04.2025,6:45:00,17.04.2025,16:45:00,10:00:00,3691,327,Apr-25,
9400405ALOZI,SPM,Liquid Bulk,BARBADOS,F,SPM CRUDE OTHERS,79574,47769,149995,17.04.2025,22:36:00,27.04.2025,17:30:00,29.04.2025,12:18:00,29.04.2025,14:59:00,233:12:00,00:00:00,233:12:00,280:23:00,,,,,27.04.2025,15:48:00,29.04.2025,14:00:00,46:12:00,129630.532,,Apr-25,8.2
2500405IVED-,MULT,Liquid Bulk,INDIA,F,LPG,46506,16040,53503,17.04.2025,16:45:00,17.04.2025,17:54:00,19.04.2025,20:18:00,19.04.2025,23:04:00,00:00:00,00:00:00,00:00:00,54:19:00,,,,,17.04.2025,16:48:00,19.04.2025,22:00:00,53:12:00,13853.594,,Apr-25,7.9
3500405REENO,Q4,Liquid Bulk,KOREA,F,ETHYLINE DICHLORIDE,8294,3696,12421,14.04.2025,18:40:00,14.04.2025,20:15:00,15.04.2025,17:00:00,15.04.2025,19:36:00,00:00:00,00:00:00,00:00:00,24:56:00,,,,,14.04.2025,18:55:00,15.04.2025,18:36:00,23:41:00,5001.738,,Apr-25,7.75
5500405NEVOH,V3,Containerised,MARSHALL ISLANDS,F,CONTAINER,29623,11801,37266,20.04.2025,11:30:00,20.04.2025,13:00:00,21.04.2025,03:18:00,21.04.2025,05:44:00,00:00:00,00:00:00,00:00:00,18:14:00,,,,,20.04.2025,12:00:00,21.04.2025,4:40:00,16:40:00,15312,1164,Apr-25,
6500405MANTA,V2,Containerised,INDIA,C,CONTAINER,18602,9382,24376,18.04.2025,15:54:00,18.04.2025,17:12:00,19.04.2025,12:12:00,19.04.2025,14:43:00,00:00:00,00:00:00,00:00:00,22:49:00,,,,,18.04.2025,16:00:00,19.04.2025,13:40:00,21:40:00,27266,1674,Apr-25,
7500405ANHSI,V3,Containerised,INDIA,F,CONTAINER,27322,12616,34608,26.04.2025,15:30:00,26.04.2025,16:48:00,27.04.2025,08:06:00,27.04.2025,10:32:00,00:00:00,00:00:00,00:00:00,19:02:00,,,,,26.04.2025,15:48:00,27.04.2025,9:30:00,17:42:00,10125,662,Apr-25,
0600405ENERE,COT,Liquid Bulk,INDIA,F,MOTOR SPIRIT,28048,11613,45861,11.04.2025,07:40:00,11.04.2025,10:06:00,13.04.2025,11:24:00,13.04.2025,13:45:00,00:00:00,00:00:00,00:00:00,54:05:00,,,,,11.04.2025,8:30:00,13.04.2025,12:45:00,52:15:00,36825.876,,Apr-25,15.2
7600405ADARA,V3,Containerised,INDIA,C,CONTAINER,40952,25095,55461,22.04.2025,06:43:00,22.04.2025,08:54:00,23.04.2025,02:30:00,23.04.2025,05:21:00,00:00:00,00:00:00,00:00:00,22:38:00,,,,,22.04.2025,7:15:00,23.04.2025,4:20:00,21:05:00,34558,1918,Apr-25,
9600405II-RE,V2,Containerised,LIBERIA,F,CONTAINER,27828,13386,37548,17.04.2025,20:55:00,17.04.2025,22:42:00,18.04.2025,06:48:00,18.04.2025,09:24:00,00:00:00,00:00:00,00:00:00,12:29:00,,,,,17.04.2025,21:30:00,18.04.2025,8:20:00,10:50:00,3752,461,Apr-25,
1700405NOITA,V3,Containerised,HONG KONG,F,CONTAINER,54437,23872,66818,23.04.2025,09:55:00,23.04.2025,11:36:00,23.04.2025,20:48:00,23.04.2025,23:00:00,00:00:00,00:00:00,00:00:00,13:05:00,,,,,23.04.2025,10:00:00,23.04.2025,22:00:00,12:00:00,11084,776,Apr-25,
2700405MUHB-,V2,Containerised,SINGAPORE,F,CONTAINER,28592,14769,39396,24.04.2025,17:48:00,24.04.2025,19:54:00,25.04.2025,07:24:00,25.04.2025,09:20:00,00:00:00,00:00:00,00:00:00,15:32:00,,,,,24.04.2025,18:30:00,25.04.2025,8:20:00,13:50:00,16426,1059,Apr-25,
3700405ALAHT,NCB,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,498,149,267,16.04.2025,13:45:00,16.04.2025,15:18:00,16.04.2025,21:06:00,16.04.2025,23:02:00,00:00:00,00:00:00,00:00:00,09:17:00,,,,,16.04.2025,14:30:00,16.04.2025,22:00:00,7:30:00,115.2,,Apr-25,4.533
5700405EERAN,BTP,Dry Bulk Mechanical,SINGAPORE,C,CEMENT,15198,5541,21136,17.04.2025,18:18:00,19.04.2025,11:15:00,21.04.2025,06:36:00,21.04.2025,08:47:00,39:27:00,00:00:00,39:27:00,86:29:00,,,,,19.04.2025,9:45:00,21.04.2025,7:45:00,46:00:00,17950.023,,Apr-25,12.35
6700405SLEVR,Q4,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,27969,12193,45761,18.04.2025,17:48:00,19.04.2025,07:42:00,20.04.2025,06:54:00,20.04.2025,09:15:00,12:07:00,00:00:00,12:07:00,39:27:00,,,,,19.04.2025,5:55:00,20.04.2025,8:15:00,26:20:00,6072.164,,Apr-25,12.4
7700405IHKNA,COT,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,27627,12769,46345,17.04.2025,22:00:00,18.04.2025,00:12:00,19.04.2025,19:30:00,19.04.2025,20:30:00,00:00:00,00:00:00,00:00:00,46:30:00,,,,,17.04.2025,22:30:00,19.04.2025,19:30:00,45:00:00,39989.382,,Apr-25,9
9700405SSERP,V2,Containerised,INDIA,C,CONTAINER,18233,10564,26207,20.04.2025,07:30:00,20.04.2025,09:24:00,20.04.2025,22:30:00,20.04.2025,23:46:00,00:00:00,00:00:00,00:00:00,16:16:00,,,,,20.04.2025,7:42:00,20.04.2025,22:48:00,15:06:00,17512,895,Apr-25,
1800405ECARB,V2,Containerised,PANAMA,F,CONTAINER,32691,12184,29688,23.04.2025,17:00:00,23.04.2025,19:36:00,24.04.2025,05:12:00,24.04.2025,07:33:00,00:00:00,00:00:00,00:00:00,14:33:00,,,,,23.04.2025,18:00:00,24.04.2025,6:30:00,12:30:00,9323,763,Apr-25,
